"","Species","Network_Type","Probability","Species_Degree","Species_Type","Fraction","Interaction_Network"
"1",1,"grid",0.852607709750567,34,"Plant",1,"M_SD_016"
"2",2,"grid",0.852607709750567,32,"Plant",1,"M_SD_016"
"3",3,"grid",0.852607709750567,30,"Plant",1,"M_SD_016"
"4",4,"grid",0.852607709750567,30,"Plant",1,"M_SD_016"
"5",5,"grid",0.852607709750567,29,"Plant",1,"M_SD_016"
"6",6,"grid",0.852607709750567,29,"Plant",1,"M_SD_016"
"7",7,"grid",0.852607709750567,27,"Plant",1,"M_SD_016"
"8",8,"grid",0.852607709750567,26,"Plant",1,"M_SD_016"
"9",9,"grid",0.852607709750567,25,"Plant",1,"M_SD_016"
"10",10,"grid",0.852607709750567,25,"Plant",1,"M_SD_016"
"11",11,"grid",0.852607709750567,24,"Plant",1,"M_SD_016"
"12",12,"grid",0.852607709750567,23,"Plant",1,"M_SD_016"
"13",13,"grid",0.852607709750567,22,"Plant",1,"M_SD_016"
"14",14,"grid",0.852607709750567,22,"Plant",1,"M_SD_016"
"15",15,"grid",0.852607709750567,16,"Plant",1,"M_SD_016"
"16",16,"grid",0.852607709750567,16,"Plant",1,"M_SD_016"
"17",17,"grid",0.852607709750567,15,"Plant",1,"M_SD_016"
"18",18,"grid",0.852607709750567,14,"Plant",1,"M_SD_016"
"19",19,"grid",0.850340136054422,13,"Plant",1,"M_SD_016"
"20",20,"grid",0.850340136054422,11,"Plant",1,"M_SD_016"
"21",21,"grid",0.850340136054422,11,"Plant",1,"M_SD_016"
"22",22,"grid",0.843537414965986,11,"Plant",1,"M_SD_016"
"23",23,"grid",0.848072562358277,9,"Plant",1,"M_SD_016"
"24",24,"grid",0.743764172335601,6,"Plant",1,"M_SD_016"
"25",25,"grid",0.852607709750567,21,"Animal",1,"M_SD_016"
"26",26,"grid",0.852607709750567,21,"Animal",1,"M_SD_016"
"27",27,"grid",0.852607709750567,21,"Animal",1,"M_SD_016"
"28",28,"grid",0.852607709750567,20,"Animal",1,"M_SD_016"
"29",29,"grid",0.852607709750567,20,"Animal",1,"M_SD_016"
"30",30,"grid",0.852607709750567,20,"Animal",1,"M_SD_016"
"31",31,"grid",0.852607709750567,19,"Animal",1,"M_SD_016"
"32",32,"grid",0.852607709750567,18,"Animal",1,"M_SD_016"
"33",33,"grid",0.852607709750567,17,"Animal",1,"M_SD_016"
"34",34,"grid",0.852607709750567,17,"Animal",1,"M_SD_016"
"35",35,"grid",0.852607709750567,17,"Animal",1,"M_SD_016"
"36",36,"grid",0.852607709750567,16,"Animal",1,"M_SD_016"
"37",37,"grid",0.852607709750567,14,"Animal",1,"M_SD_016"
"38",38,"grid",0.852607709750567,14,"Animal",1,"M_SD_016"
"39",39,"grid",0.852607709750567,14,"Animal",1,"M_SD_016"
"40",40,"grid",0.852607709750567,13,"Animal",1,"M_SD_016"
"41",41,"grid",0.852607709750567,12,"Animal",1,"M_SD_016"
"42",42,"grid",0.852607709750567,12,"Animal",1,"M_SD_016"
"43",43,"grid",0.852607709750567,12,"Animal",1,"M_SD_016"
"44",44,"grid",0.852607709750567,12,"Animal",1,"M_SD_016"
"45",45,"grid",0.852607709750567,11,"Animal",1,"M_SD_016"
"46",46,"grid",0.852607709750567,11,"Animal",1,"M_SD_016"
"47",47,"grid",0.852607709750567,11,"Animal",1,"M_SD_016"
"48",48,"grid",0.850340136054422,9,"Animal",1,"M_SD_016"
"49",49,"grid",0.850340136054422,9,"Animal",1,"M_SD_016"
"50",50,"grid",0.850340136054422,9,"Animal",1,"M_SD_016"
"51",51,"grid",0.845804988662131,9,"Animal",1,"M_SD_016"
"52",52,"grid",0.843537414965986,8,"Animal",1,"M_SD_016"
"53",53,"grid",0.827664399092971,7,"Animal",1,"M_SD_016"
"54",54,"grid",0.834467120181406,7,"Animal",1,"M_SD_016"
"55",55,"grid",0.82312925170068,7,"Animal",1,"M_SD_016"
"56",56,"grid",0.798185941043084,6,"Animal",1,"M_SD_016"
"57",57,"grid",0.802721088435374,6,"Animal",1,"M_SD_016"
"58",58,"grid",0.789115646258503,6,"Animal",1,"M_SD_016"
"59",59,"grid",0.757369614512472,5,"Animal",1,"M_SD_016"
"60",60,"grid",0.752834467120181,5,"Animal",1,"M_SD_016"
"61",61,"grid",0.743764172335601,5,"Animal",1,"M_SD_016"
"62",62,"grid",0.569160997732426,3,"Animal",1,"M_SD_016"
"63",63,"grid",0.596371882086168,3,"Animal",1,"M_SD_016"
"64",64,"grid",0.591836734693878,3,"Animal",1,"M_SD_016"
"65",65,"grid",0.555555555555556,3,"Animal",1,"M_SD_016"
"66",66,"grid",0.473922902494331,2,"Animal",1,"M_SD_016"
"67",67,"grid",0.469387755102041,2,"Animal",1,"M_SD_016"
"68",68,"grid",0.469387755102041,2,"Animal",1,"M_SD_016"
