"","Species","Network_Type","Probability","Species_Degree","Species_Type","Fraction","Interaction_Network"
"1",1,"grid",0.45578231292517,17,"Plant",1,"M_PL_039"
"2",2,"grid",0.45578231292517,14,"Plant",1,"M_PL_039"
"3",3,"grid",0.45578231292517,12,"Plant",1,"M_PL_039"
"4",4,"grid",0.45124716553288,12,"Plant",1,"M_PL_039"
"5",5,"grid",0.45578231292517,12,"Plant",1,"M_PL_039"
"6",6,"grid",0.45578231292517,10,"Plant",1,"M_PL_039"
"7",7,"grid",0.45578231292517,9,"Plant",1,"M_PL_039"
"8",8,"grid",0.453514739229025,6,"Plant",1,"M_PL_039"
"9",9,"grid",0.45578231292517,6,"Plant",1,"M_PL_039"
"10",10,"grid",0.44671201814059,5,"Plant",1,"M_PL_039"
"11",11,"grid",0.44671201814059,5,"Plant",1,"M_PL_039"
"12",12,"grid",0.439909297052154,5,"Plant",1,"M_PL_039"
"13",13,"grid",0.249433106575964,4,"Plant",1,"M_PL_039"
"14",14,"grid",0.437641723356009,4,"Plant",1,"M_PL_039"
"15",15,"grid",0.365079365079365,3,"Plant",1,"M_PL_039"
"16",16,"grid",0.414965986394558,3,"Plant",1,"M_PL_039"
"17",17,"grid",0.365079365079365,2,"Plant",1,"M_PL_039"
"18",18,"grid",0.45578231292517,13,"Animal",1,"M_PL_039"
"19",19,"grid",0.45578231292517,13,"Animal",1,"M_PL_039"
"20",20,"grid",0.45578231292517,8,"Animal",1,"M_PL_039"
"21",21,"grid",0.45578231292517,6,"Animal",1,"M_PL_039"
"22",22,"grid",0.45578231292517,6,"Animal",1,"M_PL_039"
"23",23,"grid",0.448979591836735,5,"Animal",1,"M_PL_039"
"24",24,"grid",0.44671201814059,5,"Animal",1,"M_PL_039"
"25",25,"grid",0.444444444444444,5,"Animal",1,"M_PL_039"
"26",26,"grid",0.403628117913832,4,"Animal",1,"M_PL_039"
"27",27,"grid",0.424036281179138,4,"Animal",1,"M_PL_039"
"28",28,"grid",0.405895691609977,3,"Animal",1,"M_PL_039"
"29",29,"grid",0.399092970521542,3,"Animal",1,"M_PL_039"
"30",30,"grid",0.403628117913832,3,"Animal",1,"M_PL_039"
"31",31,"grid",0.396825396825397,3,"Animal",1,"M_PL_039"
"32",32,"grid",0.408163265306122,3,"Animal",1,"M_PL_039"
"33",33,"grid",0.360544217687075,2,"Animal",1,"M_PL_039"
"34",34,"grid",0.36281179138322,2,"Animal",1,"M_PL_039"
"35",35,"grid",0.35827664399093,2,"Animal",1,"M_PL_039"
"36",36,"grid",0.360544217687075,2,"Animal",1,"M_PL_039"
"37",37,"grid",0.360544217687075,2,"Animal",1,"M_PL_039"
"38",38,"grid",0.36734693877551,2,"Animal",1,"M_PL_039"
"39",39,"grid",0.36734693877551,2,"Animal",1,"M_PL_039"
"40",40,"grid",0.35827664399093,2,"Animal",1,"M_PL_039"
"41",41,"grid",0.365079365079365,2,"Animal",1,"M_PL_039"
"42",42,"grid",0.258503401360544,1,"Animal",1,"M_PL_039"
"43",43,"grid",0.249433106575964,1,"Animal",1,"M_PL_039"
"44",44,"grid",0.260770975056689,1,"Animal",1,"M_PL_039"
"45",45,"grid",0.26530612244898,1,"Animal",1,"M_PL_039"
"46",46,"grid",0.260770975056689,1,"Animal",1,"M_PL_039"
"47",47,"grid",0.260770975056689,1,"Animal",1,"M_PL_039"
"48",48,"grid",0.253968253968254,1,"Animal",1,"M_PL_039"
"49",49,"grid",0.272108843537415,1,"Animal",1,"M_PL_039"
"50",50,"grid",0.26530612244898,1,"Animal",1,"M_PL_039"
"51",51,"grid",0.258503401360544,1,"Animal",1,"M_PL_039"
"52",52,"grid",0.160997732426304,1,"Animal",1,"M_PL_039"
"53",53,"grid",0.158730158730159,1,"Animal",1,"M_PL_039"
"54",54,"grid",0.163265306122449,1,"Animal",1,"M_PL_039"
"55",55,"grid",0.26984126984127,1,"Animal",1,"M_PL_039"
"56",56,"grid",0.258503401360544,1,"Animal",1,"M_PL_039"
"57",57,"grid",0.267573696145125,1,"Animal",1,"M_PL_039"
"58",58,"grid",0.18140589569161,1,"Animal",1,"M_PL_039"
"59",59,"grid",0.256235827664399,1,"Animal",1,"M_PL_039"
"60",60,"grid",0.260770975056689,1,"Animal",1,"M_PL_039"
"61",61,"grid",0.260770975056689,1,"Animal",1,"M_PL_039"
"62",62,"grid",0.249433106575964,1,"Animal",1,"M_PL_039"
"63",63,"grid",0.224489795918367,1,"Animal",1,"M_PL_039"
"64",64,"grid",0.26530612244898,1,"Animal",1,"M_PL_039"
"65",65,"grid",0.263038548752834,1,"Animal",1,"M_PL_039"
"66",66,"grid",0.258503401360544,1,"Animal",1,"M_PL_039"
"67",67,"grid",0.258503401360544,1,"Animal",1,"M_PL_039"
"68",68,"grid",0.27437641723356,1,"Animal",1,"M_PL_039"
"69",1,"grid",0.430839002267574,17,"Plant",2,"M_PL_039"
"70",2,"grid",0.433106575963719,14,"Plant",2,"M_PL_039"
"71",3,"grid",0.428571428571429,12,"Plant",2,"M_PL_039"
"72",4,"grid",0.424036281179138,12,"Plant",2,"M_PL_039"
"73",5,"grid",0.430839002267574,12,"Plant",2,"M_PL_039"
"74",6,"grid",0.430839002267574,10,"Plant",2,"M_PL_039"
"75",7,"grid",0.428571428571429,9,"Plant",2,"M_PL_039"
"76",8,"grid",0.424036281179138,6,"Plant",2,"M_PL_039"
"77",9,"grid",0.426303854875283,6,"Plant",2,"M_PL_039"
"78",10,"grid",0.417233560090703,5,"Plant",2,"M_PL_039"
"79",11,"grid",0.414965986394558,5,"Plant",2,"M_PL_039"
"80",12,"grid",0.408163265306122,5,"Plant",2,"M_PL_039"
"81",13,"grid",0.233560090702948,4,"Plant",2,"M_PL_039"
"82",14,"grid",0.405895691609977,4,"Plant",2,"M_PL_039"
"83",15,"grid",0.335600907029478,3,"Plant",2,"M_PL_039"
